epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,79.9023,1.1978,0.99607,1.14619,0.85716,0.63028,0.80293,0.51542,1.15749,0.85179,1.09776,8.95001e-05,8.95001e-05,8.95001e-05
23,83.1936,1.18544,0.97925,1.12025,0.7769,0.72289,0.83234,0.53491,1.15911,0.84746,1.09694,8.90001e-05,8.90001e-05,8.90001e-05
24,85.9882,1.21974,1.00191,1.13752,0.71209,0.76989,0.81598,0.51073,1.16565,0.84052,1.10186,8.85001e-05,8.85001e-05,8.85001e-05
25,89.8108,1.23386,0.99732,1.15313,0.77415,0.67641,0.7788,0.48895,1.15958,0.84764,1.09274,8.80001e-05,8.80001e-05,8.80001e-05
26,93.0131,1.27021,1.05466,1.14907,0.70899,0.63234,0.74384,0.46369,1.16515,0.87108,1.0905,8.75001e-05,8.75001e-05,8.75001e-05
27,95.9752,1.21632,1.02835,1.149,0.71671,0.63345,0.7374,0.45937,1.17758,0.88378,1.09504,8.70001e-05,8.70001e-05,8.70001e-05
28,98.7765,1.15074,0.90829,1.09189,0.74679,0.66197,0.77593,0.49138,1.17057,0.85983,1.08866,8.65001e-05,8.65001e-05,8.65001e-05
29,101.878,1.16467,0.95459,1.1179,0.75122,0.69122,0.80079,0.50745,1.17093,0.84107,1.08943,8.60001e-05,8.60001e-05,8.60001e-05
30,105.488,1.13679,0.92166,1.12191,0.78247,0.71197,0.81648,0.52567,1.17474,0.82986,1.09347,8.55001e-05,8.55001e-05,8.55001e-05
31,108.248,1.18719,0.9041,1.08396,0.77669,0.75845,0.83594,0.54727,1.16562,0.81896,1.09107,8.50002e-05,8.50002e-05,8.50002e-05
32,111.061,1.19118,0.89651,1.09371,0.87695,0.72706,0.84982,0.55357,1.16215,0.81239,1.08906,8.45002e-05,8.45002e-05,8.45002e-05
33,114.474,1.18453,0.93991,1.10603,0.87183,0.72222,0.84535,0.55467,1.16022,0.81606,1.08709,8.40002e-05,8.40002e-05,8.40002e-05
